voice,utterance,take,conversation_id,recorded_utc,track,transcript,path,sample_rate,raw_dur_s,speech_dur_s,clip_dur_s,trimmed_lead_s,trimmed_tail_s,in_lufs,out_lufs,gain_db,out_peak_dbfs,loudness_method,peak_limited
Prince,"Just reading the instructions, I think I am the interviewer for this chat.",2,conv_9001m0w4kc10egtbgbafkmt1d799,2026-08-25 09:39:08+00:00,response_audio,"Just reading the instructions, I think I am the interviewer for this chat.",export/voice_stimuli/Prince_just-reading-the-instructions-i_take2.wav,16000,3.528,3.08,4.08,0.29,0.158,-21.91,-23.0,-1.09,-5.31,lufs,False
Prince,"Just reading the instructions, I think I am the interviewer for this chat.",3,conv_3801m0w4kn28ew68wxbzjecb4phk,2026-08-25 09:39:17+00:00,response_audio,"Just reading the instructions, I think I am the interviewer for this chat.",export/voice_stimuli/Prince_just-reading-the-instructions-i_take3.wav,16000,3.42,2.98,3.98,0.31,0.13,-19.18,-23.0,-3.82,-7.84,lufs,False
AnnaClone,"Hey, can you hear me?",1,conv_4401m0w4y2yzenpbrzkdtw3nck4w,2026-08-25 09:44:59+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/AnnaClone_hey-can-you-hear-me_take1.wav,16000,2.016,1.786,2.786,0.23,0.0,-15.31,-23.0,-7.69,-9.07,lufs,False
AnnaClone,"Hey, can you hear me?",2,conv_4401m0w4yc3sf5sa2wdm8y1qyhzy,2026-08-25 09:45:08+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/AnnaClone_hey-can-you-hear-me_take2.wav,16000,1.656,1.5,2.5,0.15,0.006,-19.99,-23.0,-3.01,-9.66,lufs,False
AnnaClone,"Hey, can you hear me?",3,conv_5701m0w4yk8gekdbykv4vmw10erw,2026-08-25 09:45:16+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/AnnaClone_hey-can-you-hear-me_take3.wav,16000,1.836,1.64,2.64,0.19,0.006,-16.84,-23.0,-6.16,-7.06,lufs,False
AnnaClone,"Hey, how are you?",1,conv_0401m0w5nrksfr09shmyhatebdbm,2026-08-25 09:57:55+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/AnnaClone_hey-how-are-you_take1.wav,16000,1.764,1.574,2.574,0.19,0.0,-15.88,-23.0,-7.12,-9.0,lufs,False
AnnaClone,"Hey, how are you?",2,conv_4101m0w5p31cfkesyf3ftrygdw97,2026-08-25 09:58:06+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/AnnaClone_hey-how-are-you_take2.wav,16000,1.584,1.414,2.414,0.17,0.0,-22.69,-23.0,-0.31,-8.65,lufs,False
AnnaClone,"Hey, how are you?",3,conv_0901m0w5papeead9ck9whwsh5ya1,2026-08-25 09:58:13+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/AnnaClone_hey-how-are-you_take3.wav,16000,1.836,1.66,2.66,0.17,0.006,-16.24,-23.0,-6.76,-10.5,lufs,False
AnnaClone,"Just reading the instructions, I think I am the interviewer for this chat.",1,conv_0801m0w5r261edn941qpwjkzhbrf,2026-08-25 09:59:10+00:00,response_audio,"Just reading the instructions, I think I am the interviewer for this chat.",export/voice_stimuli/AnnaClone_just-reading-the-instructions-i_take1.wav,16000,4.536,4.38,5.38,0.15,0.006,-25.21,-23.0,2.21,-5.85,lufs,False
AnnaClone,"Just reading the instructions, I think I am the interviewer for this chat.",2,conv_1701m0w5rcd1fz0819am0f3ps0n5,2026-08-25 09:59:21+00:00,response_audio,"Just reading the instructions, I think I am the interviewer for this chat.",export/voice_stimuli/AnnaClone_just-reading-the-instructions-i_take2.wav,16000,4.176,3.92,4.92,0.25,0.006,-21.22,-23.0,-1.78,-4.61,lufs,False
AnnaClone,"Just reading the instructions, I think I am the interviewer for this chat.",3,conv_4201m0w5rnjeepkttp5s95y1a47z,2026-08-25 09:59:30+00:00,response_audio,"Just reading the instructions, I think I am the interviewer for this chat.",export/voice_stimuli/AnnaClone_just-reading-the-instructions-i_take3.wav,16000,4.392,4.122,5.122,0.27,0.0,-20.83,-23.0,-2.17,-6.3,lufs,False
SarenneClone_GUI2,"Hey, can you hear me?",1,conv_7601m0wcr7kgfw5r3xcxf99q9cyf,2026-08-25 12:01:36+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/SarenneClone_GUI2_hey-can-you-hear-me_take1.wav,16000,1.584,1.08,2.08,0.33,0.174,-19.59,-23.0,-3.41,-10.46,lufs,False
SarenneClone_GUI2,"Hey, can you hear me?",2,conv_6301m0wcrfc5f2n8ktm5pcfrqgcp,2026-08-25 12:01:44+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/SarenneClone_GUI2_hey-can-you-hear-me_take2.wav,16000,1.584,1.2,2.2,0.31,0.074,-20.44,-23.0,-2.56,-7.65,lufs,False
