voice,utterance,take,conversation_id,recorded_utc,track,transcript,path,sample_rate,raw_dur_s,speech_dur_s,clip_dur_s,trimmed_lead_s,trimmed_tail_s,in_lufs,out_lufs,gain_db,out_peak_dbfs,loudness_method,peak_limited
Lucy,"Just reading the instructions, I think I'm the interviewer for this chat.",2,conv_4801m1h5r6yyfda91v3zpnyaqjbv,2026-09-02 13:43:18+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/Lucy_just-reading-the-instructions-i_take2.wav,16000,4.176,3.86,4.86,0.25,0.066,-18.48,-23.0,-4.52,-4.96,lufs,False
Lucy,"Just reading the instructions, I think I'm the interviewer for this chat.",3,conv_6301m1h5rdkge1x9v87034qrxc8v,2026-09-02 13:43:25+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/Lucy_just-reading-the-instructions-i_take3.wav,16000,4.572,3.98,4.98,0.31,0.282,-16.99,-23.0,-6.01,-7.66,lufs,False
AnnaClone,"Hey, can you hear me?",1,conv_7801m1h9tmmnf2wsgq9gx385d27p,2026-09-02 14:54:32+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/AnnaClone_hey-can-you-hear-me_take1.wav,16000,1.908,1.7,2.7,0.17,0.038,-17.52,-23.0,-5.48,-7.95,lufs,False
AnnaClone,"Hey, can you hear me?",2,conv_1001m1h9ttfwf4gv0m9cqhmtvqr8,2026-09-02 14:54:38+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/AnnaClone_hey-can-you-hear-me_take2.wav,16000,1.836,1.72,2.72,0.11,0.006,-18.05,-23.0,-4.95,-6.82,lufs,False
AnnaClone,"Hey, can you hear me?",3,conv_6401m1h9ty7hfeyt3k5wnw2c5ge6,2026-09-02 14:54:42+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/AnnaClone_hey-can-you-hear-me_take3.wav,16000,1.404,1.334,2.334,0.07,0.0,-22.69,-23.0,-0.31,-7.19,lufs,False
AnnaClone,"Hey, how are you?",1,conv_8501m1h56a5pf2ps1gxy9yzbxwdt,2026-09-02 13:33:32+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/AnnaClone_hey-how-are-you_take1.wav,16000,1.692,1.52,2.52,0.17,0.002,-14.78,-23.0,-8.22,-10.33,lufs,False
AnnaClone,"Hey, how are you?",2,conv_3601m1h56ggeewktnsdhjb212sgc,2026-09-02 13:33:38+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/AnnaClone_hey-how-are-you_take2.wav,16000,1.836,1.726,2.726,0.11,0.0,-16.51,-23.0,-6.49,-10.07,lufs,False
AnnaClone,"Hey, how are you?",3,conv_7201m1h56p19f9qv8bkzq158qt40,2026-09-02 13:33:44+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/AnnaClone_hey-how-are-you_take3.wav,16000,1.944,1.834,2.834,0.11,0.0,-21.99,-23.0,-1.01,-10.28,lufs,False
AnnaClone,"Just reading the instructions, I think I'm the interviewer for this chat.",1,conv_0201m1h5sjr2fxwt82hf477mk1ve,2026-09-02 13:44:03+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/AnnaClone_just-reading-the-instructions-i_take1.wav,16000,4.032,3.902,4.902,0.13,0.0,-24.14,-23.0,1.14,-5.38,lufs,False
AnnaClone,"Just reading the instructions, I think I'm the interviewer for this chat.",2,conv_5601m1h5stzqez3az15spwb38qew,2026-09-02 13:44:12+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/AnnaClone_just-reading-the-instructions-i_take2.wav,16000,4.176,4.06,5.06,0.11,0.006,-21.39,-23.0,-1.61,-6.07,lufs,False
AnnaClone,"Just reading the instructions, I think I'm the interviewer for this chat.",3,conv_2401m1h5t1mcfwf91jms06zq0qm3,2026-09-02 13:44:18+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/AnnaClone_just-reading-the-instructions-i_take3.wav,16000,3.708,3.598,4.598,0.11,0.0,-22.19,-23.0,-0.81,-5.7,lufs,False
SarenneClone,"Hey, can you hear me?",1,conv_0901m1h9w345f85ra4hw1p1z9fp4,2026-09-02 14:55:20+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/SarenneClone_hey-can-you-hear-me_take1.wav,16000,1.62,1.08,2.08,0.29,0.25,-19.11,-23.0,-3.89,-6.87,lufs,False
SarenneClone,"Hey, can you hear me?",2,conv_7101m1h9w6r2egpt8mde9rym3n2s,2026-09-02 14:55:23+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/SarenneClone_hey-can-you-hear-me_take2.wav,16000,1.836,1.38,2.38,0.19,0.266,-18.42,-23.0,-4.58,-10.65,lufs,False
SarenneClone,"Hey, can you hear me?",3,conv_4401m1h9wag6esqb5zr32e893jdq,2026-09-02 14:55:27+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/SarenneClone_hey-can-you-hear-me_take3.wav,16000,1.656,1.2,2.2,0.27,0.186,-18.21,-23.0,-4.79,-8.84,lufs,False
SarenneClone,"Hey, how are you?",1,conv_6901m1h57y2qe2688efvzjs7nc8d,2026-09-02 13:34:25+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/SarenneClone_hey-how-are-you_take1.wav,16000,1.944,1.54,2.54,0.25,0.154,-20.39,-23.0,-2.61,-7.36,lufs,False
SarenneClone,"Hey, how are you?",2,conv_2801m1h58444fcfbk00pzvdmc8n4,2026-09-02 13:34:31+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/SarenneClone_hey-how-are-you_take2.wav,16000,1.98,1.52,2.52,0.17,0.29,-19.6,-23.0,-3.4,-8.81,lufs,False
