voice,utterance,take,conversation_id,recorded_utc,track,transcript,path,sample_rate,raw_dur_s,speech_dur_s,clip_dur_s,trimmed_lead_s,trimmed_tail_s,in_lufs,out_lufs,gain_db,out_peak_dbfs,loudness_method,peak_limited
TextGen_FB,"Just reading the instructions, I think I'm the interviewer for this chat.",1,conv_5401m1h5yhe2e57vekrv8x9jffq3,2026-09-02 13:46:46+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/TextGen_FB_just-reading-the-instructions-i_take1.wav,16000,4.104,3.64,4.64,0.23,0.234,-16.99,-23.0,-6.01,-6.42,lufs,False
TextGen_FB,"Just reading the instructions, I think I'm the interviewer for this chat.",2,conv_9801m1h5yvcvetnr60veqbdd68bz,2026-09-02 13:46:56+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/TextGen_FB_just-reading-the-instructions-i_take2.wav,16000,3.528,3.14,4.14,0.23,0.158,-16.83,-23.0,-6.17,-6.54,lufs,False
TextGen_FB,"Just reading the instructions, I think I'm the interviewer for this chat.",3,conv_9201m1h5z31bf2bakzn6c0fvcv0t,2026-09-02 13:47:04+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/TextGen_FB_just-reading-the-instructions-i_take3.wav,16000,3.78,3.32,4.32,0.21,0.25,-15.57,-23.0,-7.43,-7.83,lufs,False
TextGen_FB2,"Hey, can you hear me?",1,conv_5301m1ha1b2tfq1a8vt3jbvmtxjx,2026-09-02 14:58:12+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/TextGen_FB2_hey-can-you-hear-me_take1.wav,16000,1.476,1.16,2.16,0.19,0.126,-15.22,-23.0,-7.78,-8.75,lufs,False
TextGen_FB2,"Hey, can you hear me?",2,conv_1301m1ha1ewqf57v84zb8qsfpctc,2026-09-02 14:58:16+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/TextGen_FB2_hey-can-you-hear-me_take2.wav,16000,1.8,1.48,2.48,0.15,0.17,-17.92,-23.0,-5.08,-7.61,lufs,False
TextGen_FB2,"Hey, can you hear me?",3,conv_0301m1ha1k25ebmba9bqg25382pj,2026-09-02 14:58:20+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/TextGen_FB2_hey-can-you-hear-me_take3.wav,16000,1.728,1.36,2.36,0.17,0.198,-13.13,-23.0,-9.87,-10.27,lufs,False
TextGen_FB2,"Hey, how are you?",1,conv_7101m1h5cer1ep4a27fyjja2t8ch,2026-09-02 13:36:53+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/TextGen_FB2_hey-how-are-you_take1.wav,16000,1.476,1.04,2.04,0.23,0.206,-11.85,-23.0,-11.15,-11.55,lufs,False
TextGen_FB2,"Hey, how are you?",2,conv_4501m1h5cn9dea4b5tntrpd568mw,2026-09-02 13:37:00+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/TextGen_FB2_hey-how-are-you_take2.wav,16000,1.836,1.44,2.44,0.21,0.186,-13.16,-23.0,-9.84,-10.66,lufs,False
TextGen_FB2,"Hey, how are you?",3,conv_6801m1h5ctpseea82m7kkwyhb3yc,2026-09-02 13:37:05+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/TextGen_FB2_hey-how-are-you_take3.wav,16000,1.728,1.28,2.28,0.17,0.278,-11.54,-23.0,-11.46,-11.87,lufs,False
TextGen_FB2,"Just reading the instructions, I think I'm the interviewer for this chat.",1,conv_3801m1h5zvkqeg5bssnzpmq1gtsz,2026-09-02 13:47:29+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/TextGen_FB2_just-reading-the-instructions-i_take1.wav,16000,3.996,3.42,4.42,0.31,0.266,-17.96,-23.0,-5.04,-5.47,lufs,False
TextGen_FB2,"Just reading the instructions, I think I'm the interviewer for this chat.",2,conv_1301m1h602jafrtvbmawxj3xavdf,2026-09-02 13:47:36+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/TextGen_FB2_just-reading-the-instructions-i_take2.wav,16000,4.32,3.88,4.88,0.21,0.23,-18.79,-23.0,-4.21,-4.57,lufs,False
TextGen_FB2,"Just reading the instructions, I think I'm the interviewer for this chat.",3,conv_7901m1h609a4eb2tanzpn8z7xqaa,2026-09-02 13:47:43+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/TextGen_FB2_just-reading-the-instructions-i_take3.wav,16000,4.032,3.48,4.48,0.27,0.282,-18.22,-23.0,-4.78,-5.2,lufs,False
