provider,source,voice,utterance,utterance_slug,take,conversation_id,channel,recorded_utc,track,transcript,path,sample_rate,source_rate,raw_dur_s,speech_dur_s,clip_dur_s,trimmed_lead_s,trimmed_tail_s,in_lufs,out_lufs,gain_db,out_peak_dbfs,loudness_method,peak_limited,source_file,utterance_source
ElevenLabs,elevenlabs,ChrisClone_GUI3,"Hey, how are you?",hey-how-are-you,1,conv_1601m1h5a6tpe76ayx57h09k5ws5,agent,2026-09-02 13:35:39+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_ChrisClone_GUI3_hey-how-are-you_take1.wav,16000,16000,1.584,1.2,2.2,0.13,0.254,-14.91,-23.0,-8.09,-9.16,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_GUI3,"Hey, how are you?",hey-how-are-you,2,conv_0101m1h5acryfpwtjfc2xdwc2hk8,agent,2026-09-02 13:35:45+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_ChrisClone_GUI3_hey-how-are-you_take2.wav,16000,16000,1.872,1.44,2.44,0.21,0.222,-17.32,-23.0,-5.68,-9.57,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_GUI3,"Hey, how are you?",hey-how-are-you,3,conv_5101m1h5aj19e8grd0e53vq0phj2,agent,2026-09-02 13:35:51+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_ChrisClone_GUI3_hey-how-are-you_take3.wav,16000,16000,1.656,1.32,2.32,0.13,0.206,-20.68,-23.0,-2.32,-8.63,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_GUI3,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,1,conv_1901m1h5x51kearbg6rt7ntx2k0x,agent,2026-09-02 13:46:00+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_ChrisClone_GUI3_just-reading-the-instructions-i_take1.wav,16000,16000,3.924,3.62,4.62,0.27,0.034,-29.53,-23.0,6.53,-6.11,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_GUI3,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,2,conv_0801m1h5xbe5e5e9rv2eapder5s4,agent,2026-09-02 13:46:07+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_ChrisClone_GUI3_just-reading-the-instructions-i_take2.wav,16000,16000,4.104,3.64,4.64,0.23,0.234,-22.97,-23.0,-0.03,-4.42,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_GUI3,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,3,conv_8301m1h5xhq3ebwsf37d2s01g0bg,agent,2026-09-02 13:46:13+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_ChrisClone_GUI3_just-reading-the-instructions-i_take3.wav,16000,16000,4.104,3.82,4.82,0.11,0.174,-24.53,-23.0,1.53,-5.09,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_LongNN,"Hey, can you hear me?",hey-can-you-hear-me,1,conv_8901m1h9wzvkevctwcb3ehaxv38j,agent,2026-09-02 14:55:49+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_ChrisClone_LongNN_hey-can-you-hear-me_take1.wav,16000,16000,1.584,1.08,2.08,0.19,0.314,-17.04,-23.0,-5.96,-8.24,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_LongNN,"Hey, can you hear me?",hey-can-you-hear-me,2,conv_7501m1h9x4kef56813jdy4br7hrc,agent,2026-09-02 14:55:54+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_ChrisClone_LongNN_hey-can-you-hear-me_take2.wav,16000,16000,1.26,0.9,1.9,0.21,0.15,-14.83,-23.0,-8.17,-8.79,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_LongNN,"Hey, can you hear me?",hey-can-you-hear-me,3,conv_5301m1h9x83deh1rag9a8kpt0y8j,agent,2026-09-02 14:55:58+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_ChrisClone_LongNN_hey-can-you-hear-me_take3.wav,16000,16000,1.548,0.96,1.96,0.19,0.398,-18.06,-23.0,-4.94,-7.99,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_LongNN,"Hey, how are you?",hey-how-are-you,1,conv_4501m1h5938hf3kr8mgyy90nx80p,agent,2026-09-02 13:35:03+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_ChrisClone_LongNN_hey-how-are-you_take1.wav,16000,16000,1.764,1.34,2.34,0.17,0.254,-19.23,-23.0,-3.77,-7.87,lufs,False,,
