voice,utterance,take,conversation_id,channel,recorded_utc,track,transcript,path,sample_rate,raw_dur_s,speech_dur_s,clip_dur_s,trimmed_lead_s,trimmed_tail_s,in_lufs,out_lufs,gain_db,out_peak_dbfs,loudness_method,peak_limited
AGEIS-7,"Hey, can you hear me?",1,conv_2301m1k5qytne7tsb7pvrszgbmxb,agent,2026-09-03 08:21:39+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_robotic_anchor/AGEIS-7_hey-can-you-hear-me_take1.wav,16000,2.16,1.54,2.54,0.29,0.33,-17.53,-23.0,-5.47,-6.58,lufs,False
AGEIS-7,"Hey, can you hear me?",2,conv_5301m1k5r417e5kr44gpmmb6cssq,agent,2026-09-03 08:21:44+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_robotic_anchor/AGEIS-7_hey-can-you-hear-me_take2.wav,16000,1.8,1.48,2.48,0.19,0.13,-17.98,-23.0,-5.02,-7.07,lufs,False
AGEIS-7,"Hey, can you hear me?",3,conv_4801m1k5rapxf09978jn2h2reg7j,agent,2026-09-03 08:21:51+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_robotic_anchor/AGEIS-7_hey-can-you-hear-me_take3.wav,16000,1.836,1.56,2.56,0.17,0.106,-17.93,-23.0,-5.07,-7.68,lufs,False
AGEIS-7,"Hey, how are you?",1,conv_5301m1k5vjtxekcax4mqk4wp5j16,agent,2026-09-03 08:23:38+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_robotic_anchor/AGEIS-7_hey-how-are-you_take1.wav,16000,2.088,1.4,2.4,0.21,0.478,-16.35,-23.0,-6.65,-7.88,lufs,False
AGEIS-7,"Hey, how are you?",2,conv_0901m1k5vpvbe7wa93r5gk5w32rn,agent,2026-09-03 08:23:42+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_robotic_anchor/AGEIS-7_hey-how-are-you_take2.wav,16000,1.512,1.12,2.12,0.19,0.202,-16.05,-23.0,-6.95,-9.72,lufs,False
AGEIS-7,"Hey, how are you?",3,conv_4001m1k5vv47frv80rk1ankebprc,agent,2026-09-03 08:23:46+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_robotic_anchor/AGEIS-7_hey-how-are-you_take3.wav,16000,1.98,1.56,2.56,0.23,0.19,-16.32,-23.0,-6.68,-8.4,lufs,False
AGEIS-7,"Just reading the instructions, I think I'm the interviewer for this chat.",1,conv_4601m1k5tmvkf60a9t29rp10emhk,agent,2026-09-03 08:23:07+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_robotic_anchor/AGEIS-7_just-reading-the-instructions-i_take1.wav,16000,4.068,3.66,4.66,0.21,0.198,-18.21,-23.0,-4.79,-5.75,lufs,False
AGEIS-7,"Just reading the instructions, I think I'm the interviewer for this chat.",2,conv_2201m1k5tv52edfv735s6n7pcf25,agent,2026-09-03 08:23:13+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_robotic_anchor/AGEIS-7_just-reading-the-instructions-i_take2.wav,16000,4.284,3.94,4.94,0.17,0.174,-18.62,-23.0,-4.38,-5.48,lufs,False
AGEIS-7,"Just reading the instructions, I think I'm the interviewer for this chat.",3,conv_1201m1k5v1gre469zgtmjx56mz03,agent,2026-09-03 08:23:20+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_robotic_anchor/AGEIS-7_just-reading-the-instructions-i_take3.wav,16000,4.068,3.56,4.56,0.27,0.238,-17.97,-23.0,-5.03,-5.85,lufs,False
